rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,targetDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
9,9,1,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190929,57858830,1.2,5892230,11.3,4474566430,7367,723,10.9,576752,168,236
10,10,-1,OLD,20193807,예스터데이,2019-09-18,20190929,57709730,1.2,-14750490,-20.4,2475015400,6703,-1534,-18.6,292246,307,447
1,1,0,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20190928,1729938400,33.7,960866860,124.9,3865684420,201936,110616,121.1,497803,1064,4814
2,2,1,OLD,20194456,양자물리학,2019-09-25,20190928,963962750,18.8,488693110,102.8,2212761740,109996,55176,100.6,276752,772,2727
3,3,-1,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190928,957282740,18.7,451887550,89.4,37749362744,109811,50775,86,4352450,1000,4024
4,4,0,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20190928,467271790,9.1,215638260,85.7,1220110270,52380,23990,84.5,154410,678,1931
5,5,0,OLD,20192982,애드 아스트라,2019-09-19,20190928,176380740,3.4,68590700,63.6,4163444930,19956,7821,64.4,470589,493,919
6,6,0,NEW,20184483,퍼펙트맨,2019-10-02,20190928,147407700,2.9,147407700,100,535073700,17495,17495,100,74205,481,723
7,7,-1,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190928,107076860,2.1,33835560,46.2,19460480854,11728,3454,41.7,2202411,405,907
8,8,-1,OLD,20195968,더 룸,2019-09-25,20190928,89743700,1.7,33378800,59.2,287915300,10108,3752,59,36457,163,496
9,9,-1,OLD,20193807,예스터데이,2019-09-18,20190928,72460220,1.4,25248240,53.5,2417305670,8237,2632,47,285543,317,470
10,10,17,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190928,51966600,1.0,48143000,1259.1,4416707600,6644,6144,1228.8,569385,172,241
1,1,0,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20190927,769071540,30.3,247649530,47.5,2135746020,91320,25047,37.8,295867,979,4579
2,2,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190927,505395190,19.9,138735840,37.8,36792080004,59036,12772,27.6,4242639,921,3806
3,3,0,OLD,20194456,양자물리학,2019-09-25,20190927,475269640,18.7,140969660,42.2,1248798990,54820,14022,34.4,166756,658,2689
4,4,0,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20190927,251633530,9.9,70272180,38.7,752838480,28390,6014,26.9,102030,668,1848
5,5,0,OLD,20192982,애드 아스트라,2019-09-19,20190927,107790040,4.2,25295670,30.7,3987064190,12135,2185,22,450633,489,1066
6,6,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190927,73241300,2.9,11107360,17.9,19353403994,8274,552,7.1,2190683,429,1025
7,7,0,OLD,20195968,더 룸,2019-09-25,20190927,56364900,2.2,15348700,37.4,198171600,6356,1418,28.7,26349,157,562
8,8,1,OLD,20193807,예스터데이,2019-09-18,20190927,47211980,1.9,13356480,39.5,2344845450,5605,1278,29.5,277306,337,525
9,9,-1,OLD,20195203,레플리카,2019-09-25,20190927,43191260,1.7,5167590,13.6,135436920,5060,229,4.7,18625,339,774
10,10,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190927,23447940,0.9,-681320,-2.8,9777771276,3379,-331,-8.9,1158868,222,319
1,1,0,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20190926,521422010,27.4,-248945460,-32.3,1366674480,66273,-63665,-49,204547,977,4390
2,2,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190926,366659350,19.3,-165142880,-31.1,36286684814,46264,-42828,-48.1,4183603,891,3488
3,3,0,OLD,20194456,양자물리학,2019-09-25,20190926,334299980,17.6,11057610,3.4,773529350,40798,-12653,-23.7,111936,669,2665
4,4,0,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20190926,181361350,9.5,-107762250,-37.3,501204950,22376,-25610,-53.4,73640,640,1716
5,5,0,OLD,20192982,애드 아스트라,2019-09-19,20190926,82494370,4.3,-36442740,-30.6,3879274150,9950,-9215,-48.1,438498,484,1103
6,6,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190926,62133940,3.3,-26242080,-29.7,19280162694,7722,-6785,-46.8,2182409,424,1018
7,7,0,OLD,20195968,더 룸,2019-09-25,20190926,41016200,2.2,-19544700,-32.3,141806700,4938,-4973,-50.2,19993,144,572
8,8,1,OLD,20195203,레플리카,2019-09-25,20190926,38023670,2.0,-14678320,-27.9,92245660,4831,-3713,-43.5,13565,344,838
9,9,-1,OLD,20193807,예스터데이,2019-09-18,20190926,33855500,1.8,-21213500,-38.5,2297633470,4327,-4626,-51.7,271701,338,541
10,10,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190926,24129260,1.3,-10744510,-30.8,9754323336,3710,-2255,-37.8,1155489,215,305
1,1,7,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20190925,770367470,31.0,737148470,2219.1,845252470,129938,126294,3465.8,138274,1065,4381
2,2,-1,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190925,531802230,21.4,5289960,1,35920025464,89092,23148,35.1,4137339,881,3229
3,3,4,OLD,20194456,양자물리학,2019-09-25,20190925,323242370,13.0,273252370,546.6,439229370,53451,44881,523.7,71138,731,2675
4,4,7,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20190925,289123600,11.6,268923600,1331.3,319843600,47986,45966,2275.5,51264,670,1648
5,5,-3,OLD,20192982,애드 아스트라,2019-09-19,20190925,118937110,4.8,-98966820,-45.4,3796779780,19165,-7158,-27.2,428548,520,1159
6,6,-3,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190925,88376020,3.6,-93250270,-51.3,19218028754,14507,-8016,-35.6,2174687,516,1083
7,7,27,OLD,20195968,더 룸,2019-09-25,20190925,60560900,2.4,58192900,2457.5,100790500,9911,9615,3248.3,15055,159,587
8,8,-3,OLD,20193807,예스터데이,2019-09-18,20190925,55069000,2.2,-62607790,-53.2,2263777970,8953,-6018,-40.2,267374,374,607
9,9,0,NEW,20195203,레플리카,2019-09-25,20190925,52701990,2.1,52701990,100,54221990,8544,8544,100,8734,360,871
10,10,-4,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190925,34873770,1.4,-65163530,-65.1,9730194076,5965,-7647,-56.2,1151779,256,359
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190924,526512270,32.3,-82011670,-13.5,35388223234,65944,-9586,-12.7,4048247,1114,5235
2,2,0,OLD,20192982,애드 아스트라,2019-09-19,20190924,217903930,13.4,-32529110,-13,3677842670,26323,-3805,-12.6,409383,787,3179
3,3,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190924,181626290,11.1,-28768320,-13.7,19129652734,22523,-3530,-13.5,2160180,777,2661
4,4,2,OLD,20184483,퍼펙트맨,2019-10-02,20190924,159523000,9.8,136105000,581.2,375993000,21932,19292,730.8,55273,147,164
5,5,-1,OLD,20193807,예스터데이,2019-09-18,20190924,117676790,7.2,-13830250,-10.5,2208708970,14971,-1495,-9.1,258421,630,2161
6,6,-1,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190924,100037300,6.1,4990910,5.3,9695320306,13612,900,7.1,1145814,584,1642
7,7,12,OLD,20194456,양자물리학,2019-09-25,20190924,49990000,3.1,45580000,1033.6,115987000,8570,8080,1649,17687,64,65
8,8,15,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20190924,33219000,2.0,30136000,977.5,74885000,3644,3239,799.8,8336,17,17
9,9,0,NEW,20195920,가장 보통의 연애,2019-10-02,20190924,30123000,1.8,30123000,100,32930000,3347,3347,100,3748,15,18
10,10,-1,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190924,28255000,1.7,18084320,177.8,5092931167,3278,2065,170.2,588958,109,160
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190923,608523940,41.4,-1566605180,-72,34861710964,75530,-169767,-69.2,3982303,1084,5372
2,2,0,OLD,20192982,애드 아스트라,2019-09-19,20190923,250433040,17.0,-710511250,-73.9,3459938740,30128,-75438,-71.5,383060,799,3291
3,3,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190923,210394610,14.3,-479558590,-69.5,18948026444,26053,-49895,-65.7,2137657,748,2713
4,4,0,OLD,20193807,예스터데이,2019-09-18,20190923,131507040,8.9,-336202190,-71.9,2091032180,16466,-37072,-69.2,243450,614,2277
5,5,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190923,95046390,6.5,-278935910,-74.6,9595283006,12712,-31146,-71,1132202,558,1668
